"permutation","h2_cells","h2_minus_h1"
"1","91","-0.03362532253444791"
"2","91","0.04402760198289212"
"3","91","0.06880314473143916"
"4","91","0.1333987573741409"
"5","91","0.19466945356494156"
"6","91","-0.13762951156714395"
"7","91","-0.02310952839075055"
"8","91","0.031186152327908646"
"9","91","-0.09310660437935193"
"10","91","0.10927102034245742"
"11","91","-0.03332992996194835"
"12","91","-0.04279692929271362"
"13","91","-0.0234622596877673"
"14","91","0.03322432538562162"
"15","91","0.20110005929030786"
"16","91","-0.006858294998213471"
"17","91","-0.06072004823297021"
"18","91","0.01912434662173189"
"19","91","-0.03788322518575654"
"20","91","0.0601640234718123"
"21","91","0.041138780067249366"
"22","91","-0.05945117535095543"
"23","91","0.11477175832186495"
"24","91","0.007036426422383129"
"25","91","-0.08448255718852334"
"26","91","-0.11811871400030236"
"27","91","-0.0075114831763795804"
"28","91","0.036877565491531025"
"29","91","0.09817088067077671"
"30","91","0.001211719458281924"
"31","91","0.09603901980840063"
"32","91","0.052873736392658695"
"33","91","0.011813639248514227"
"34","91","-0.08309989602359913"
"35","91","0.28375728488525875"
"36","91","-0.017860417234201727"
"37","91","0.07979477282883596"
"38","91","-0.06401978245450837"
"39","91","0.09753895717020407"
"40","91","0.044049220427122365"
"41","91","0.13216108556241762"
"42","91","-0.09007222821542565"
"43","91","-0.07259924286913233"
"44","91","-0.023997284689721777"
"45","91","0.036685731729484354"
"46","91","-0.06178227821574898"
"47","91","-0.017987625084642023"
"48","91","-0.16346680171865954"
"49","91","-0.011343394862988652"
"50","91","0.029712512006532892"
"51","91","-0.029525052604980444"
"52","91","0.012820386302232522"
"53","91","-0.16165525832188274"
"54","91","-0.0643962293199853"
"55","91","-0.031069761178241964"
"56","91","0.06258937700915777"
"57","91","-0.18664467271851162"
"58","91","-0.019285842094744026"
"59","91","0.21091222414193647"
"60","91","-0.1229731788950483"
"61","91","-0.08755296541969791"
"62","91","-0.03321105627049555"
"63","91","-0.10298633357319313"
"64","91","-0.017303855845669142"
"65","91","0.06862212043193919"
"66","91","-0.0729735248375482"
"67","91","-0.02825507985477087"
"68","91","0.032968204486987174"
"69","91","-0.12905188925622307"
"70","91","-0.07579080030919834"
"71","91","-0.12159869947971291"
"72","91","-0.21992414151529865"
"73","91","0.0012308604822706178"
"74","91","3.090597204559732e-05"
"75","91","-0.10811812820301642"
"76","91","-0.019545074907921286"
"77","91","0.07018852498550447"
"78","91","-0.09445345221770099"
"79","91","0.05863586052298933"
"80","91","0.058282911891281125"
"81","91","0.20017019950601664"
"82","91","0.03347243492984678"
"83","91","-0.19539751211832215"
"84","91","-0.31777635960930944"
"85","91","0.01155094054074854"
"86","91","0.06215334754559175"
"87","91","0.018485742037134305"
"88","91","0.04730260419488453"
"89","91","0.2736282202731241"
"90","91","0.011665695434145628"
"91","91","0.1410810616957355"
"92","91","0.1244288806299981"
"93","91","-0.035973966311439884"
"94","91","0.1582028340232303"
"95","91","-0.2194310756886527"
"96","91","-0.04343102734334725"
"97","91","-0.10016761253296631"
"98","91","0.008510385786990668"
"99","91","0.03006699416603624"
"100","91","0.061186741286693345"
"101","91","-0.22182736885945878"
"102","91","0.07879279026427886"
"103","91","0.06252951628806243"
"104","91","0.13777053684573323"
"105","91","0.052784203923892936"
"106","91","0.058644824291899385"
